platform,course name,instructor,subject,image,description,link,rating
udemy,Mastering Data Structures & Algorithms using C and C++,Abdul Bari,dsa,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRi-Mgv7M_sZGM-cxpVQBLJyRfwUa0HpcUPUw&usqp=CAU,"This 53 hours of course covers each topic in greater details, every topic is covered on Whiteboard which will improve your Problem Solving and Analytical Skills. Every Data Structure is discussed, analysed and implemented with a Practical line-by-line coding.",https://www.udemy.com/course/datastructurescncpp/,4.6
udemy,Master Coding Interview :Data structures + Algorithms,Jackson Kailath,dsa,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRi-Mgv7M_sZGM-cxpVQBLJyRfwUa0HpcUPUw&usqp=CAU,"This course is structured as DAILY CODING CHALLENGES to give you a clear target for every day. By not missing a single day and by staying consistent you will have solved a variety of questions by the end of this course, getting you prepared for coding interviews and more practice on your own from Leetcode.",https://www.udemy.com/course/data-structures-and-algorithms-dsa/,4.5
great learning,Java Data Structures for Beginners,great learning academy,dsa,"https://fiverr-res.cloudinary.com/t_main1,q_auto,f_auto/gigs2/304026752/original/de70b097c7283f8e0661c384a398cb72ab83c64d.jpg","This course will help you become an expert in different data structures like the Arrays, stack, queue and linked list would help crack any interview and write an optimized code that can benefit any organization. ",https://www.mygreatlearning.com/academy/learn-for-free/courses/java-data-structures-for-beginners,4.5
great learning,Java Algorithms,great learning academy,dsa,"https://fiverr-res.cloudinary.com/t_main1,q_auto,f_auto/gigs2/304026752/original/de70b097c7283f8e0661c384a398cb72ab83c64d.jpg","In this course, you will understand Algorithms and their Analysis followed by their types. ",https://www.mygreatlearning.com/academy/learn-for-free/courses/algorithms-in-java-for-intermediate-level,4.4
great learning,OOPs in Java,Mr. Bharani Akella,dsa,"https://fiverr-res.cloudinary.com/t_main1,q_auto,f_auto/gigs2/304026752/original/de70b097c7283f8e0661c384a398cb72ab83c64d.jpg",Learn oops in java from basics in this free online training. Oops in java course is taught hands-on by experts. Learn object-oriented programming in java and inheritance in java in details with example. Enrol for free now!,https://www.mygreatlearning.com/academy/learn-for-free/courses/oops-in-java,4.4
great learning,Data Structures in C,Mr. Bharani Akella,dsa,"https://fiverr-res.cloudinary.com/t_main1,q_auto,f_auto/gigs2/304026752/original/de70b097c7283f8e0661c384a398cb72ab83c64d.jpg","This free Data Structures in C course offers comprehensive lectures by experts with real-world examples on arrays, linked lists, stacks, queues, binary trees, and binary search trees. Start now!",https://www.mygreatlearning.com/academy/learn-for-free/courses/data-structures-in-c,4.3
great learning,Linked list Basics,great learning academy,dsa,"https://fiverr-res.cloudinary.com/t_main1,q_auto,f_auto/gigs2/304026752/original/de70b097c7283f8e0661c384a398cb72ab83c64d.jpg","In this course, we will briefly walk you through what is LinkedList? You will be learning about the operations that can be done on LinkedList like traversal operations, insert and delete operations. ",https://www.mygreatlearning.com/academy/learn-for-free/courses/linkedlist,4.3
coursera,Deep Learning Specialization,Andrew Ng,deep learning,https://tse2.mm.bing.net/th?id=OIP.l3ehPyHJOAEzxXbNjJAUZgHaEX&pid=Api&P=0,Become a Machine Learning expert. Master the fundamentals of deep learning and break into AI. Recently updated with cutting-edge techniques!,https://www.coursera.org/specializations/deep-learning,4.9
coursera,Neural Networks and Deep Learning,Andrew Ng,deep learning,https://tse2.mm.bing.net/th?id=OIP.l3ehPyHJOAEzxXbNjJAUZgHaEX&pid=Api&P=0,"By the end, you will be familiar with the significant technological trends driving the rise of deep learning; build, train, and apply fully connected deep neural networks; implement efficient (vectorized) neural networks; identify key parameters in a neural network’s architecture; and apply deep learning to your own applications.",https://www.coursera.org/learn/neural-networks-deep-learning,4.9
coursera,Reinforcement Learning Specialization,Martha White,deep learning,https://tse2.mm.bing.net/th?id=OIP.l3ehPyHJOAEzxXbNjJAUZgHaEX&pid=Api&P=0,Master the Concepts of Reinforcement Learning. Implement a complete RL solution and understand how to apply AI tools to solve real-world problems.,https://www.coursera.org/specializations/reinforcement-learning,4.8
udemy,A deep understanding of deep learning,Mike X Cohen,deep learning,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNLjYAMkZEQWKpSLugdqUUzI8p-l8KGBeEnA&usqp=CAU,"Deep learning is now used in most areas of technology, business, and entertainment. And it's becoming more important every year.",https://www.udemy.com/course/deeplearning_x/,4.8
coursera,DeepLearning.AI TensorFlow Developer Professional Certificate,Laurence Moroney,deep learning,https://tse2.mm.bing.net/th?id=OIP.l3ehPyHJOAEzxXbNjJAUZgHaEX&pid=Api&P=0,"In this hands-on, four-course Professional Certificate program, you’ll learn the necessary tools to build scalable AI-powered applications with TensorFlow. After finishing this program, you’ll be able to apply your new TensorFlow skills to a wide range of problems and projects. ",https://www.coursera.org/professional-certificates/tensorflow-in-practice,4.7
great learning,Convolutional Neural Networks,great learning academy,deep learning,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlIVOk-9FeWxZf-Z6l-8mPcteE_zXdbBdOcHd6j2_x_nY4et8WGX7xugLw8Lh9mVB8AcM&usqp=CAU,"In this course, we will learn how CNNs work and some of the applications they have been used in.",https://www.mygreatlearning.com/academy/learn-for-free/courses/convolutional-neural-networks,4.7
coursera,Traffic Sign Classification Using Deep Learning in Python/Keras,Ryan Ahemd,deep learning,https://tse2.mm.bing.net/th?id=OIP.l3ehPyHJOAEzxXbNjJAUZgHaEX&pid=Api&P=0,"In this 1-hour long project-based course, you will be able to: - Understand the theory and intuition behind Convolutional Neural Networks (CNNs). - Import Key libraries, dataset and visualize images.",https://www.coursera.org/projects/traffic-sign-classification-deep-learning,4.6
udemy,Deep Learning: Recurrent Neural Networks in Python,Lazy Programmer Inc.,deep learning,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNLjYAMkZEQWKpSLugdqUUzI8p-l8KGBeEnA&usqp=CAU,"This course focuses on ""how to build and understand"", not just ""how to use"". Anyone can learn to use an API in 15 minutes after reading some documentation. It's not about ""remembering facts"", it's about ""seeing for yourself"" via experimentation. It will teach you how to visualize what's happening in the model internally. If you want more than just a superficial look at machine learning models, this course is for you.",https://www.udemy.com/course/deep-learning-recurrent-neural-networks-in-python/,4.6
